A�O;MES;CODIGO_RNT;COD_MUN;COD_DPTO;ESTADO_RNT;RAZON_SOCIAL_ESTABLECIMIENTO;DEPARTAMENTO;MUNICIPIO;CATEGORIA;SUB_CATEGORIA;HABITACIONES;CAMAS;NUM_EMP
2024;4;206144;13001;13;ACTIVO;GUSTAVO  ADOLFO BABILONIA  ELLES;BOLIVAR;CARTAGENA;VIVIENDAS TURISTICAS;APARTAMENTO TURISTICO;2;5;0
2024;4;206165;13001;13;ACTIVO;VELMAR HOTELS S.A.S.;BOLIVAR;CARTAGENA;VIVIENDAS TURISTICAS;CASA TURISTICA;1;8;0
2024;4;206170;13001;13;ACTIVO;CARLOS EDGARDO CASTRO MERCADO;BOLIVAR;CARTAGENA;VIVIENDAS TURISTICAS;APARTAMENTO TURISTICO;1;2;0
2024;4;206180;13001;13;ACTIVO;RUBEN DARIO HERNANDEZ MONSALVE;BOLIVAR;CARTAGENA;VIVIENDAS TURISTICAS;APARTAMENTO TURISTICO;1;3;0
2024;4;206197;13001;13;ACTIVO;WILLIAM ZABALETA ARRIENDOS & NEGOCIOS S.A.S;BOLIVAR;CARTAGENA;VIVIENDAS TURISTICAS;APARTAMENTO TURISTICO;4;4;0
2024;4;206225;13001;13;ACTIVO;CARLOS MARIO RAMIREZ HEREDIA;BOLIVAR;CARTAGENA;VIVIENDAS TURISTICAS;APARTAMENTO TURISTICO;1;7;0
2024;4;206245;13001;13;ACTIVO;VANESSA MARIA RUMIE MEJIA;BOLIVAR;CARTAGENA;VIVIENDAS TURISTICAS;APARTAMENTO TURISTICO;1;4;0
2024;4;206252;13001;13;ACTIVO;VANESSA MARIA RUMIE MEJIA;BOLIVAR;CARTAGENA;VIVIENDAS TURISTICAS;APARTAMENTO TURISTICO;1;4;0
2024;4;206257;13001;13;ACTIVO;JULIA BERENA CORDERO MIRANDA;BOLIVAR;CARTAGENA;VIVIENDAS TURISTICAS;APARTAMENTO TURISTICO;1;3;0
2024;4;206263;13001;13;ACTIVO;JULIA BERENA CORDERO MIRANDA;BOLIVAR;CARTAGENA;VIVIENDAS TURISTICAS;APARTAMENTO TURISTICO;1;3;0
2024;4;206266;13001;13;ACTIVO;JUAN JOSE SANDOVAL ACEVEDO;BOLIVAR;CARTAGENA;VIVIENDAS TURISTICAS;APARTAMENTO TURISTICO;2;4;0
2024;4;206270;13001;13;ACTIVO;BETTY  ACOSTA MEDINA;BOLIVAR;CARTAGENA;VIVIENDAS TURISTICAS;APARTAMENTO TURISTICO;3;8;0
2024;5;206312;13001;13;ACTIVO;VASQUEZ ZAPATEIRO DEILIS DEL CARMEN;BOLIVAR;CARTAGENA;VIVIENDAS TURISTICAS;CASA TURISTICA;5;19;0
2024;4;206351;13001;13;ACTIVO;QUINTERO PUENTES ADRIANA ISABELLA;BOLIVAR;CARTAGENA;VIVIENDAS TURISTICAS;APARTAMENTO TURISTICO;1;2;0
2024;4;206365;13001;13;ACTIVO;YULIETH PAOLA CASTRO LANCHEROS;BOLIVAR;CARTAGENA;VIVIENDAS TURISTICAS;CASA TURISTICA;1;8;0
2024;4;206369;13001;13;ACTIVO;TIPICOS LA COCINA DE PEPINA;BOLIVAR;CARTAGENA;ESTABLECIMIENTOS DE GASTRONOMIA;RESTAURANTE;0;0;1
2024;4;206371;13001;13;ACTIVO;VISHUDA AGENCIA;BOLIVAR;CARTAGENA;AGENCIAS DE VIAJES;AGENCIA DE VIAJES Y DE TURISMO;0;0;0
2024;4;206372;13001;13;ACTIVO;LUXURY YACTHING CARTAGENA;BOLIVAR;CARTAGENA;AGENCIAS DE VIAJES;AGENCIA DE VIAJES OPERADORAS;0;0;6
2024;4;206373;13001;13;ACTIVO;VOLVEGASTOUR.CTG;BOLIVAR;CARTAGENA;AGENCIAS DE VIAJES;AGENCIA DE VIAJES OPERADORAS;0;0;0
2024;4;206379;13001;13;ACTIVO;JUAN MANUEL CASTILLO FRANCO;BOLIVAR;CARTAGENA;VIVIENDAS TURISTICAS;APARTAMENTO TURISTICO;1;8;0
2024;4;206402;13001;13;ACTIVO;DELCY DEL CARMEN ARIAS MIRANDA;BOLIVAR;CARTAGENA;VIVIENDAS TURISTICAS;APARTAMENTO TURISTICO;2;5;0
2024;4;206403;13001;13;ACTIVO;GRUPO VITA S.A.S.;BOLIVAR;CARTAGENA;VIVIENDAS TURISTICAS;APARTAMENTO TURISTICO;2;10;0
2024;4;206422;13001;13;ACTIVO;BEACH AND MOUNTAIN LIVING EXPERIENCE S.A.S.;BOLIVAR;CARTAGENA;VIVIENDAS TURISTICAS;APARTAMENTO TURISTICO;1;4;0
2024;4;206429;13001;13;ACTIVO;NIUHOST EXPERIENCES;BOLIVAR;CARTAGENA;AGENCIAS DE VIAJES;AGENCIA DE VIAJES OPERADORAS;0;0;0
2024;4;206444;13001;13;ACTIVO;MARGARITA EUGENIA SANCHEZ RENGIFO;BOLIVAR;CARTAGENA;VIVIENDAS TURISTICAS;APARTAMENTO TURISTICO;1;2;0
2024;4;206467;13001;13;ACTIVO;MARIA DE LOS ANGELES CORTES GRAJALES;BOLIVAR;CARTAGENA;VIVIENDAS TURISTICAS;APARTAMENTO TURISTICO;1;4;0
2024;4;206486;13001;13;ACTIVO;ANDREA CAROLINA LOZANO PARRA;BOLIVAR;CARTAGENA;VIVIENDAS TURISTICAS;APARTAMENTO TURISTICO;1;5;0
2024;4;206487;13001;13;ACTIVO;JOYCE JOAN JIMENEZ TORRES;BOLIVAR;CARTAGENA;GUIAS DE TURISMO;GUIA DE TURISMO;0;0;0
2024;4;206499;13001;13;ACTIVO;LUZ PATRICIA BERNAL DE PATIÑO;BOLIVAR;CARTAGENA;VIVIENDAS TURISTICAS;APARTAMENTO TURISTICO;1;4;0
2024;4;206529;13001;13;ACTIVO;RAMIREZ GOMEZ YENNY PAOLA;BOLIVAR;CARTAGENA;VIVIENDAS TURISTICAS;APARTAMENTO TURISTICO;1;4;0
2024;4;206531;13001;13;ACTIVO;H&E RENTAL HABITAT S.A.S.;BOLIVAR;CARTAGENA;VIVIENDAS TURISTICAS;APARTAMENTO TURISTICO;1;7;0
